
37,37,3,1340,398,7,UP;25;2147483647;2147483647;6,DOWN;97;2147483647;2147483647;6,RIGHT;null,LEFT;null,,37,UP,,37,170,1
34,34,3,1320,392,13,UP;19;2147483647;2147483647;6,DOWN;91;2147483647;2147483647;6,RIGHT;null,LEFT;null,,34,UP,,34,190,1
35,35,3,1330,395,10,UP;null,DOWN;42;2147483647;2147483647;38,RIGHT;null,LEFT;42;2147483647;2147483647;38,,35,LEFT,,35,180,1
38,38,3,2940,524,114,UP;null,DOWN;null,RIGHT;84;30;80;-1,LEFT;109;30;80;-1,,38,RIGHT,,38,0,1
39,39,3,2940,542,132,UP;60;57;62;-1,DOWN;84;57;62;-1,RIGHT;60;57;62;-1,LEFT;null,,39,UP,,39,0,1
40,40,3,2940,546,128,UP;null,DOWN;null,RIGHT;74;41;58;-1,LEFT;110;41;58;-1,,40,LEFT,,40,0,1
41,41,3,2940,554,120,UP;null,DOWN;null,RIGHT;36;69;50;-1,LEFT;60;69;50;-1,,41,LEFT,,41,0,1
45,45,3,2940,582,92,UP;null,DOWN;null,RIGHT;44;93;22;46,LEFT;76;93;22;46,,45,RIGHT,,45,50,1
47,47,3,2940,594,80,UP;44;111;10;58,DOWN;null,RIGHT;44;111;10;58,LEFT;null,,47,RIGHT,,47,70,1
43,43,3,2940,564,110,UP;78;32;40;24,DOWN;78;32;40;24,RIGHT;null,LEFT;78;32;40;24,,43,LEFT,,43,75,1
48,48,2,3040,639,67,UP;null,DOWN;null,RIGHT;121;2147483647;2147483647;-1,LEFT;109;2147483647;2147483647;-1,,48,LEFT,,48,70,1
46,46,3,2940,588,86,UP;39;68;16;61,DOWN;87;68;16;61,RIGHT;null,LEFT;null,,46,UP,,46,95,1
50,50,2,3090,659,47,UP;null,DOWN;null,RIGHT;103;2147483647;2147483647;-1,LEFT;91;2147483647;2147483647;-1,,50,LEFT,,50,70,1
42,42,3,2940,558,116,UP;null,DOWN;null,RIGHT;62;47;46;12,LEFT;98;47;46;12,,42,RIGHT,,42,125,1
49,49,2,3080,657,49,UP;97;2147483647;2147483647;-1,DOWN;73;2147483647;2147483647;-1,RIGHT;null,LEFT;73;2147483647;2147483647;-1,,49,DOWN,,49,120,1
53,53,2,3140,679,27,UP;null,DOWN;null,RIGHT;118;2147483647;2147483647;-1,LEFT;93;2147483647;2147483647;-1,,53,LEFT,,53,140,1
52,52,2,3130,677,29,UP;77;2147483647;2147483647;-1,DOWN;77;2147483647;2147483647;-1,RIGHT;null,LEFT;77;2147483647;2147483647;-1,,52,DOWN,,52,190,1
55,55,2,3180,697,9,UP;87;2147483647;2147483647;-1,DOWN;87;2147483647;2147483647;-1,RIGHT;null,LEFT;87;2147483647;2147483647;-1,,55,DOWN,,55,160,1
44,44,3,2940,576,98,UP;50;50;28;34,DOWN;50;50;28;34,RIGHT;50;50;28;34,LEFT;null,,44,RIGHT,,44,210,1
54,54,2,3160,689,17,UP;null,DOWN;67;2147483647;2147483647;-1,RIGHT;null,LEFT;67;2147483647;2147483647;-1,,54,LEFT,,54,210,1
51,51,2,3110,669,37,UP;null,DOWN;71;2147483647;2147483647;-1,RIGHT;null,LEFT;71;2147483647;2147483647;-1,,51,LEFT,,51,270,1
